YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2023,0,0,117935,Car and driver
2021,2,2,140710,AUTOTRADER
2020,3,5166,135900,AUTOTRADER
2019,4,26596,98557,kelly blue book
2018,5,20989,109888,AUTOTRADER
2017,6,34628,89741,kelly blue book
2016,7,38205,81141,kelly blue book
2015,8,38539,87303,CARGURUS
2014,9,17008,149999,AUTOTRADER
2013,10,64016,77498,AUTOTRADER
2012,11,49724,67497,kelly blue book
2011,12,51953,66467,kelly blue book
2010,13,36667,72227,CARGURUS
2009,14,30012,70443,CARGURUS
